ized +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payments/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payments/:id/process, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payments/:id/refund, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/payments/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] EmployeesController {/api/employees}: +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/employees, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/employees/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/employees, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/employees/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/employees/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] ServicesController {/api/services}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/services, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/services/:id, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/services, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/services/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/services/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] RatePlansController {/api/rate-plans}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans/:id, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans/:id/daily-rates, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/rate-plans/:id/daily-rates, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] DailyRatesController {/api/daily-rates}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates/:id, PUT} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/daily-rates/rate-plan/:ratePlanId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] PromotionsController {/api/promotions}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions/code/:code, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions/:id, DELETE} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/promotions/validate, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] TaxRulesController {/api/tax-rules}: +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules, GET} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules/:id, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules/:id, PUT} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules/:id, DELETE} route +1ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules/property/:propertyId, GET} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RouterExplorer] Mapped {/api/tax-rules/calculate, POST} route +0ms
backend-1  | [Nest] 31  - 10/11/2025, 7:35:10 AM     LOG [RoutesResolver] ReservationServicesController {/api/reservation-services}: +0ms
